Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views (Excluding offsite video views),Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"🌟 We at Tsofen تسوفن צופן  want to extend a heartfelt #thankyou  to all the incredible hi-tech #engineers  who participated in our recent online #survey ! Your #insights  and contributions are invaluable in shaping the #future  of our #industry .
📊 Survey Closed, Insights Await!
The survey has officially ended, and we're thrilled with the overwhelming response. Your feedback will play a pivotal role in understanding the evolving landscape of technology and innovation.
🔍 Stay Tuned for Results!
We're excited to delve into the data and analyze your responses. Stay tuned as we'll be sharing the survey results soon! We can't wait to unveil the findings and insights gathered from your collective expertise.
🌐 Driving Change Together
At Tsofen تسوفن צופן, we're committed to fostering #innovation  and driving change in the hi-tech industry. Your participation reinforces our shared dedication to pushing the boundaries of what's possible.
Once again, thank you for your time, insights, and unwavering support. Together, let's continue to shape the future of technology!
#Tsofen #HiTech #Innovation #SurveyResults #TechIndustry #ThankYou Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Arthur Blecher NAS Consulting & Research",https://www.linkedin.com/feed/update/urn:li:activity:7143978525505630208,Organic,,Kinneret Belzer,12/21/2023,,,All followers,1902,,,44,0.023133544,22,0,1,,0.035226077,
"🚀 Are you an Arab #engineer working in the #hitech  industry? Your #input  matters! 🌟Tsofen تسوفن צופן invite you to participate in our #survey aimed at understanding the experiences of Arab engineers in the field.
Take a moment to complete the survey and make a difference: 
https://lnkd.in/dgC_9gw2

#TechDiversity #ArabEngineers #Tsofen #InclusionInTech #Survey #Empowerment",https://www.linkedin.com/feed/update/urn:li:activity:7142434483911245824,Organic,,Kinneret Belzer,12/18/2023,,,All followers,995,,,39,0.039195981,7,2,6,,0.054271355,
"🌟 Calling all Arab Engineers in the Hi-Tech Industry! 🌟
Take a moment to be a part of something impactful . Your voice matters! 📢

At Tsofen تسوفن צופן, we're conducting a #secure and #anonymous #survey  to understand the experiences and emotions of Arab engineers in the hi-tech sector amidst #challenging times and ongoing shifts in the industry. 
Your responses will shape a clearer understanding of the landscape, helping us tailor Tsofen's programs to cater to your #needs . 
We aim to amplify your voices to the decision-makers, ensuring your perspectives are represented.
🤝 Let's work #togetherwecandomore  towards a better #tomorrow ! Your few minutes can make a significant difference. 

Join us in this journey by sharing your thoughts through the survey:
Survey Link Here - Click to Participate!  

https://lnkd.in/dXfcsWcc

Thank you immensely for your contribution! Here's to brighter days ahead! 🌟✨

#ArabEngineers #HiTechIndustry #TsofenSurvey #YourVoiceMatters #TogetherForChange

Arthur Blecher Jasmine Tamuz Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז
",https://www.linkedin.com/feed/update/urn:li:activity:7140308897621336066,Organic,,Kinneret Belzer,12/12/2023,,,All followers,1062,,,24,0.02259887,19,0,6,,0.046139359,
"🚀 Celebrating Achievements! 🎉

Amidst challenges, we marked a significant #milestone as we wrapped up our #androidappdevelopment course in partnership with University of Haifa. 

Our future looks #bright with such a group of incredibly talented #students ! And to our incredible team - your dedication knows no bounds. Your contributions are the bedrock of our success!'كلمات الشكر لا تفيكي حقك' 

Let's keep pushing boundaries and achieving more together! 🌟💼

#Tsofen #AndroidCourse #Teamwork #Achievements #ProfessionalGrowth #Gratitude Rawia Khoury Zaher Maisam Jaljuli Roee Levanon Tsofen تسوفن צופן תעסוקדע",https://www.linkedin.com/feed/update/urn:li:activity:7137034228235460608,Organic,,Kinneret Belzer,12/03/2023,,,All followers,2871,,,393,0.136886105,59,2,2,,0.158829674,
"🌟 Celebrating a milestone moment! 🌟 Yesterday, we gathered for an inspiring in-person meeting with the #first Israeli cohort of the ServiceNow #riseup Program. Participants come from #underrepresented  sectors in Israeli Hi-tech: #Bedouin, #Arab, and #ultraorthodox communities, with two-thirds being #women! 

ServiceNow Tsofen تسوفن צופן KamaTech | קמא-טק kawkab wattad Maisam Jaljuli Adar Margalit",https://www.linkedin.com/feed/update/urn:li:activity:7133439976335192064,Organic,,Kinneret Belzer,11/23/2023,,,All followers,220,,,16,0.07272727,11,0,0,,0.122727275,
"🌟 Exciting Opportunity Alert for Engineering & Computer Science Students/Graduates! 🌟

Are you an academic student or graduate in the fields of engineering or computer science? Are you eager to delve into new areas within the tech industry and propel your career forward?

🚀 Tsofen is thrilled to announce the launch of our new course: Java Microservices Development – a gateway to a new realm of possibilities ✨
This program offers you the chance to explore the dynamic world of Java Microservices, empowering you with in-demand skills and opening doors to your first job in Hi-Tech 🎯

🗓️ Days: Sundays & Wednesdays
🕔 Time: 17:00 - 21:00 

🗓️ Day: Friday
🕘 Time: 9:00 - 13:00 

This is your opportunity to immerse yourself in an intensive learning experience that can shape your future in the tech industry!
Ready to take the leap?
 
Register here:  https://lnkd.in/eK9aRXJK

Don't miss this chance to advance your career and embrace the world of Java Microservices with Tsofen! 🌐💻 

#JavaDevelopment #TechCareer #TsofenCourses #HitechOpportunity Tsofen تسوفن צופן Maisam Jaljuli Sujood Nassar Rawia Khoury Zaher Forsatech ",https://www.linkedin.com/feed/update/urn:li:activity:7130906493263974400,Organic,,Kinneret Belzer,11/16/2023,,,All followers,1781,,,122,0.068500839,5,0,1,,0.071869738,
Today the Tsofen تسوفن צופן staff and leadership had an incredible day volunteering at the Emergency Relief Center in Rahat. It was truly #inspiring  to see people from diverse backgrounds—Arabs and Jews of all ages—coming #together to pack food baskets for those in need. The #unity and #positivity were palpable. Being in that environment during these times was a powerful reminder of the #impact we can make when we come together. Let's continue spreading #kindness and #supporting one another. #TsofenCommunity #VolunteeringForGood Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Alon Bar-Shany Ramzi halabi Gideon Kunda Sarah Kreimer,https://www.linkedin.com/feed/update/urn:li:activity:7130639333392306176,Organic,,Kinneret Belzer,11/15/2023,,,All followers,2777,,,851,0.306445807,48,1,2,,0.324810952,
"Tsofen تسوفن צופן leadership speak about the unique #challenges Arab #hitech employees face in the workplace amidst the current war and the #complexity tech companies are grappling with between Jewish and Arab employees. 

🛠️ Our #research with NAS Consulting & Research indicates that while many Arab engineers feel integrated and fairly treated, they often #fear political and social discussions due to their Arab identity.

🚫 Impact of Conflict on Dialogue: Many Arab engineers sense changed attitudes towards them, experiencing isolation, microaggressions, and sometimes facing politically charged questions at work.

🤔 Navigating Social Discussions: Arab engineers often avoid discussing the conflict or related issues, fearing repercussions, highlighting the need for sensitive dialogue and mutual understanding.

🧰 Organizational Responsibility: We call on companies to foster healthy workplace environments, emphasizing #inclusion , #diversity , and #equalrights for both Jewish and Arab employees.

🤝 Creating Common Grounds: Initiatives like joint #voluntary activities among Arab and Jewish employees demonstrate efforts towards connection during challenging times.

💼 Promoting Unity Amidst Complexity: Efforts focusing on fostering #unity  among employees despite the complexities of their backgrounds and the societal challenges stemming from the conflict.

Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Ramzi halabi


https://lnkd.in/dHXQ3RNN
",https://www.linkedin.com/feed/update/urn:li:activity:7130140767494225920,Organic,,Kinneret Belzer,11/14/2023,,,All followers,2121,,,74,0.034889203,24,0,2,,0.047147572,
"It's time to #connect and dive into the ever-evolving world of #tech . No doubt, the tech scene is buzzing with updates, and we're here to share #insights , #strategies , and #tips to smoothly #navigate these changes seamlessly and enhance the technological #tools at your disposal.

Join us at Tsofen تسوفن צופן online event on Tuesday, November 14th at 17:00

Don't miss the chance to upgrade your tech game! 

Register for the event here: https://lnkd.in/d7u_r-uj

 #TechTalks #InnovateTogether #TsofenEvent

Daoud Kabha Sujood Nassar Manal Saabni Islam Hag Yahya Maisam Jaljuli Ibtikar BaseCamp Forsatech ",https://www.linkedin.com/feed/update/urn:li:activity:7128366397696450561,Organic,,Kinneret Belzer,11/09/2023,,,All followers,1139,,,38,0.033362597,19,0,1,,0.050921861,
"The Tsofen تسوفن צופן  family mourns the tragic loss of innocent lives and shares in the sorrow of victims' families. We wish for quieter and better days ahead.

Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Ramzi halabi",https://www.linkedin.com/feed/update/urn:li:activity:7123351844323491840,Organic,,Kinneret Belzer,10/26/2023,,,All followers,2499,,,103,0.041216485,17,4,0,,0.04961985,
"🌟 As the old proverb says ""Ask the #experienced, not the #wise.""

And with that, we invite you to join us for a special session with seasoned engineers from Intel Corporation, where they will share their valuable #experiences and #insights on #crisismanagement.

📅 Date: Sunday, October 29th
🕔 Time: 17:00-18:00
📍 Virtual Event via Teams

🎙️ Presenters: Gassan Tabajah  & Daher Kaiss 

Don't miss out on this opportunity to learn from the experts! 

Register here: https://lnkd.in/dVEbVeAE


#IntelEngineers #ExperienceMatters #LearningFromThePros

Tsofen تسوفن צופן Maisam Jaljuli Juman Sharif Lujain Adawi Abdelrazek Mona Tannous Rizik Bank Hapoalim בנק הפועלים Samar Bashara Ibtikar BaseCamp Edmond de Rothschild Foundations Mwassi Ahmad Forsatech",https://www.linkedin.com/feed/update/urn:li:activity:7122932065154560002,Organic,,Kinneret Belzer,10/25/2023,,,All followers,1650,,,25,0.015151516,13,0,4,,0.025454545,
"In these #challenging times and in the context of the present circumstances, it is crucial for us to delve into the nuanced understanding of the #dynamic between the #expression of one's opinions and the preservation of #social cohesion. 

The question lingers, how can we #navigate the delicate balance between the freedom to #express ourselves and the maintenance of a functioning #society?

We invite you to join our special lecture with lawyer Reham Nasra, where we'll discuss this crucial topic. Join us and share your thoughts and questions!

Date: Wednesday, October 25th, 2023
Time: 5:00 PM via Zoom

This is an opportunity to learn how to express our opinions responsibly and promote meaningful dialogue. 

Register using the link below: 

https://lnkd.in/dVP-iRWQ 

Tsofen تسوفن צופן Ibtikar BaseCamp Israel Innovation Authority רשות החדשנות Maisam Jaljuli Layan Bathish Islam Hag Yahya",https://www.linkedin.com/feed/update/urn:li:activity:7122207242870829058,Organic,,Kinneret Belzer,10/23/2023,,,All followers,1232,,,57,0.046266235,9,7,1,,0.060064934,
"Hi Tsofen تسوفن צופן   community, we hope you are holding up during these challenging times. 

In these circumstances, we would like to invite you to a meet up Zoom titled:

""Fake News and Safe Behavior on Social Networks During Periods of Crisis.

Featuring Anas AbuDaabes Digital and Marketing strategist.

Date: Saturday, 21.10.23
Time: 17:00

Participation is free but requires prior registration at the following link👇

Registration Link:
https://lnkd.in/dtHvhMfS

Stay well! #Tsofen #DigitalStrategy #SocialMediaSafety #Innovation

kawkab wattad Angela Obeid Sokkar Arthur Blecher Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Ibtikar BaseCamp TALENTEAM -  Recruitment & Diversity Israel Innovation Authority רשות החדשנות MindCET- EdTech Innovation Center",https://www.linkedin.com/feed/update/urn:li:activity:7120447092380028929,Organic,,Kinneret Belzer,10/18/2023,,,All followers,1171,,,19,0.016225448,15,0,2,,0.030742954,
,https://www.linkedin.com/feed/update/urn:li:activity:7112484324884590593,Organic,,Kinneret Belzer,09/26/2023,,,All followers,1511,,,14,0.009265387,16,0,0,,0.0198544,
"Hey Tsofen تسوفن צופן family! 🌟 We just kicked off another exciting year of our #mentoringprogram, and oh, what a celebration it was!
Reflecting on the past year, it's heartwarming to see how far we've come together! A big shoutout to our ever-supportive #mentors, our enthusiastic university #students, and the special guests who graced the occasion.
A special #thankyou to Mwassi Ahmad from the Edmond de Rothschild Foundations and the fabulous Samar Bashara from Bank Hapoalim בנק הפועלים. The energy in the room was electric, with representatives from so many #hitech companies connecting and sharing.
We were also blessed to hear from our very own mentor Wassim Mashour from Dell Technologies and the inspiring stories of Karin Matar and Kenan Hanu. Hisham Abdulhalim, Ph.D.  had us all intrigued with his talk on #GenerativeAI, and janan awawdy Awada from Meta shared some golden nuggets for all you #jobseekers out there.

Here's to growth, connection, and another transformative year ahead! 🌱❤️ Lujain Adawi Abdelrazek Mona Tannous Rizik Juman Sharif kawkab wattad Rawia Khoury Zaher Islam Hag Yahya Layan Bathish Merav Boaz - Boozy מירב (בוזי) בועז Maisam Jaljuli Arthur Blecher USAID Google",https://www.linkedin.com/feed/update/urn:li:activity:7112378803389120516,Organic,,Kinneret Belzer,09/26/2023,,,All followers,6720,,,4385,0.652529776,75,1,4,,0.664434552,
"🎉 Exciting News! 🎉

We are thrilled to announce the successful completion of Tsofen تسوفن צופן 's 68th training course! This unique program brought together 31 exceptional graduate and undergraduate students from diverse educational backgrounds. The course centered around #Fullstack development with Node.js & React.js.

A huge shoutout to the Ministry of Labor and USAID  for their unwavering support, which played a pivotal role in the program’s success as part of the Forsatech initiative.

👏 Special Thanks 👏

	•	Dell Technologies for their invaluable contributions.

	•	Engineers Wassim Mashour  Masur and Muhsen Abu Salah, for their expert guidance.
	•	Dr. Salah Shaheen and Skyware Technologies, for enriching our students’ experience with robust training.

The course also featured a unique exposure day at our offices, offering a CV writing workshop and job interview preparation.

Your success is our mission. Here’s to many more accomplishments ahead!

#Tsofen #TsofenTraining #FullStackDevelopment #Nodejs #Reactjs #TechEducation #Innovation Maisam Jaljuli Sujood Nassar",https://www.linkedin.com/feed/update/urn:li:activity:7110702446498181120,Organic,,Kinneret Belzer,09/21/2023,,,All followers,3641,,,683,0.187585831,54,1,2,,0.203240871,
"This week we had the fantastic opportunity to visit Shutterfly as part of our #androidappdevelopment course in collaboration with The University of Haifa. Not only did our talented participants get an office tour, but they were also treated to compelling insights from Shutterfly’s own engineers and HR team on Artificial Intelligence and effective job-hunting strategies.

A big #thankyou you to everyone at Shutterfly who shared their expertise and time with us. Lital Ran-Hirsh Noor Kayouf Roy Amir Dekel Laifer Dov Eilot - Mayzlish Aseel Butto Anan Sadiya Carmel Druker David Eliyahu

Your contributions have enriched our program immensely!

#Tsofen #ShutterflyInc #AI #JobHunting #AndroidAppDevelopment #UniversityOfHaifa Rawia Khoury Zaher Tsofen تسوفن צופן Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7110649096859791361,Organic,,Kinneret Belzer,09/21/2023,,,All followers,2776,,,401,0.144452453,37,0,3,,0.158861667,
"Last week, Manal Saabni from the Tsofen تسوفن צופן team had the honor of contributing to the rich tapestry of #ideas  exchanged at the #2023DellTechnologiesForum. We delved deep into dialogues that matter, emphasizing the crucial role diversity plays in nurturing #innovation and #empathy  in the #businessworld. 

Eli Rosenes Shahar Harat Tziona Edri Idan Nimni Liat Marek 💫",https://www.linkedin.com/feed/update/urn:li:activity:7109473510632136704,Organic,,Kinneret Belzer,09/18/2023,,,All followers,2484,,,109,0.043880839,42,1,0,,0.061191626,
🍏 🍯 שנה טובה ודמוקרטית! 🍷 🍎 ,https://www.linkedin.com/feed/update/urn:li:activity:7108328607416000512,Organic,,Kinneret Belzer,09/14/2023,,,All followers,679,,,0,0,4,0,0,,0.005891016,
"🌟 Hey Amazing Mentors and Mentees,🌟

The moment we've all been eagerly waiting for is almost here! 🎉

We are beyond excited to invite you to **Tsofen’s Annual Mentoring Event**! Brace yourselves for an exhilarating rendezvous where we not only celebrate but learn and uplift one another. 🌱✨

Mark your calendars for an event packed with:

🤝 Mingling: An invaluable opportunity to extend your #networks and forge promising #connections .

📝 Mentors Registration: Be part of the #change, step up to guide the #nextgeneration of Arab hi-tech professionals.

💼 **Your Next Job Session:** Get insights and tools that might lead you to your #dreamjob!

🗓️ **Date:** Wednesday, 20th September 2023
🏨 **Venue:** Leonardo Plaza Hotel, Haifa
🕔 **Time:** 17:30 - 20:00


We're gearing up to kick off our 9th year of the mentoring program with a grand celebration. 🎂 Together, let's make this event a beacon of #knowledge #sharing , #camaraderie , and #inspiration .

See you there, ready to innovate, inspire, and integrate! 💫

Register here: https://lnkd.in/d-Rq8_45

Bank Hapoalim בנק הפועלים Samar Bashara Google Check Point Software Technologies Ltd Edmond de Rothschild Foundations Mwassi Ahmad USAID Forsatech Hisham Abdulhalim, Ph.D. Lujain Adawi Abdelrazek Mona Tannous Rizik Juman Sharif Maisam Jaljuli #tech_bridges Tsofen تسوفن צופן",https://www.linkedin.com/feed/update/urn:li:activity:7108071901347872768,Organic,,Kinneret Belzer,09/14/2023,,,All followers,989,,,20,0.020222448,14,0,3,,0.037411526,
"Excited to share that yesterday Tsofen تسوفن צופן facilitated a #meetup  at Moona- A Space For Change, where Jewish and Arab participants gathered to explore the expansive world of #ai.

The event was characterized by an open #dialogue , encouraging attendees to delve deeper into the AI topics that intrigue them the most, and foster a mutual understanding and respect that transcends beyond just #technology. It was truly heartening to see such active participation and eagerness to #learn and #collaborate.

Our #gratitude  to everyone who played a part in making this event a success! Islam Hag Yahya Layan Bathish Fadi Hashem Omar Agbaria USAID #tech_bridges ",https://www.linkedin.com/feed/update/urn:li:activity:7108045287356588033,Organic,,Kinneret Belzer,09/14/2023,,,All followers,1799,,,173,0.096164539,27,2,0,,0.112284601,
"🚀 Explore the Future of AI with Tsofen 🚀

Dear LinkedIn Community,

We are thrilled to invite all #technology #enthusiasts and tech #professionals  to this fun event! If you’re passionate about the world of #artificialintelligence and keen to stay updated on the latest developments, this meetup is designed just for you!

Join us for a session filled with insights, innovation, and networking opportunities with others who share your enthusiasm for technology. 

Here are the details:

📅 Date: Wednesday, September 13, 2023
⏰ Time: 12:30 - 14:30
📍 Location: Moona Innovation Center, 2 Even Sina, Majd al-Krum.

Sign up here to reserve your spot:


https://lnkd.in/ddNv6TbT

Tsofen تسوفن צופן Islam Hag Yahya Layan Bathish Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7105830459502161920,Organic,,Kinneret Belzer,09/08/2023,,,All followers,1263,,,29,0.022961203,15,0,2,,0.036421221,
"צופן כארגון חברה אזרחית, ערבי-יהודי, תומך בשביתה נגד האדישות וההפקרה של הבטחון האישי של כולנו- בני החברה הערבית והישראלית 
גם יחד

מידע והמלצות למעסיקים בעת שביתת המחאה של החברה הערבית במחאה על  העדר פתרון וטיפול בפשיעה ובאלימות
מתחילת השנה, איבדה מדינת ישראל  167 מאזרחיה הערבים אשר היו קורבנות לאלימות המאורגנת הפוקדת את החברה הערבית. בעקבות המצב וכצעד מחאתי, הוועד הארצי של ראשי הרשויות המקומיות הערביות וועדת המעקב העליונה הכריזו על שביתה כללית של החברה הערבית שתתקיים היום, יום שלישי 05.09.2023. בין השאר החליטה הועדה גם על הקמת מטה חירום למאבק בפשיעה בחברה הערבית, קיצור יום הלימודים בבתי הספר ונקיטת פעולות חינוכיות בנושא אלימות ומחאה. השביתה תכלול את הרשויות המקומיות הערביות והגופים הקשורים אליהן, את בעלי העסקים ומערכת החינוך שתפעל עד השעה השלישית. כמו כן, תתכן הצטרפות של עובדים מהמגזר הציבורי ופעילות התנדבותית לעידוד מחאה בכניסות לישובים. 

כיצד עלולה המחאה להשפיע על הצוותים?
עובדים ועובדות ערבים עלולים להמנע  מלממש את זכותם למחות, מתוך חשש שיצטרכו להתמודד עם יחס שיפוטי או מאשים מצד עמיתים או מנהלים.ות או מהשלכות של אי הבנה הנובעת מחוסר ידע אודות המצב. כמו כן, במקומות עבודה בהם עובדים ערבים הם בייצוג נמוך מאוד, יהיה להם קשה עוד יותר לקחת חלק במחאה, שכן פעולה זו מדגישה את הזהות הנבדלת שלהם ביחס לשאר אנשי הצוות. אנשי צוות אשר אינם מזדהים עם המחאה עלולים לחוש חוסר הוגנות, תסכול משינויים ועיכובים במהלך העבודה ואף אכזבה מעמיתיהם. עם זאת, קנה המידה של האלימות והקורבנות שנפלו בשנה האחרונה מעוררים דאגה בשורות נרחבות של החברה הישראלית, ויתכן כי דווקא יהיה קל יותר ליהודים להבין את הפרספקטיבה של עמיתיהם הערבים, ומכאן לחוש יותר אמפתיה והבנה כלפי השתתפותם במחאה.  

מנהלות, מנהלים והנהלות, מה מומלץ לעשות?
*תנו לגיטימציה והביעו הבנה לרצון של עובדים לשבות. רצוי לעשות זאת ברמה האישית (ככל הניתן), בשיחה קצרה או אפילו הודעה אישית בנייד או במייל.
*גבשו החלטה לגבי הכרה או אי הכרה ביום השביתה כיום חופש. כך או כך, חשוב לתווך החלטה זו ומסרים אלו לעובדים ומנהלים בכל הדרגים באופן רשמי ושיטתי. 
*הכירו בכך שיתכן ויווצר שיבוש במהלך התקין של העבודה ביום זה. תקשרו לצוותים את המוכנות והמחויבות שלכם.ן לשאת את השיבוש לטובת מימוש הזכות למחאה או לטובת תמיכה בקידום הפתרון לבעיית האלימות.
*התייחסו לכל מקרה לגופו, והיו קשובים לעובדים השונים על מנת להבין את ההשלכות של הסיטואציה באופן ייחודי עליהם. עבור חלקם עלול להיות קושי להגיע למקום העבודה ו/או לצאת מהיישוב שלהם.
*באופן כללי, ולא רק בהקשר של השביתה, וודאו עם העובדים והעובדות הערביות כי הם חשים ביטחון במקום העבודה ועשו זאת באמצעות שיחות של מנהלים/ות ישירים ונציגי/ות מש״א עם העובדים.  
*אנו קוראים למעסיקים במגזר הפרטי להביע תמיכה במחאה ובשביתה. לתמיכה ציבורית גלויה שלכם במחאה זו יש חשיבות והשפעה רבה, הן מבחינת המסר לעובדים והעובדות בארגוניכם, יהודים וערבים כאחד, והן עבור החברה הישראלית בכללותה. אובדן השליטה, מעשי האלימות והרצח בחברה הערבית, המציאות היומיומית האלימה, מסכנים את שלום וביטחון עובדיכם ואזרחי מדינת ישראל.

aChord - Employement Department 
Hasoub
יוזמות אברהם  مبادرات  ابراهيم
AJEEC-NISPED
itworks
Kav Mashve - كاف مشفيه - קו משווה
Be-Atzmi בעצמי
סיכוי - سيكوي - Sikkuy",https://www.linkedin.com/feed/update/urn:li:activity:7104757338728771584,Organic,,Kinneret Belzer,09/05/2023,,,All followers,3054,,,104,0.034053702,61,0,2,,0.054682385,
"The path to #professionalgrowth often starts with a strong #online  presence. That's why we're thrilled to share this #meetup in collaboration with LinkedIn, aimed at enhancing your professional profile.

In our connected world, platforms like LinkedIn serve as essential tools for networking and growth. 

We encourage you to seize this opportunity. Register now through this link:
https://lnkd.in/dk5VHaSX

Islam Hag Yahya Layan Bathish Maisam Jaljuli Omer Naar Elissa Zimmerman Mohamed Abu Baker
",https://www.linkedin.com/feed/update/urn:li:activity:7097911487779778560,Organic,,Kinneret Belzer,08/17/2023,,,All followers,1409,,,30,0.021291696,14,0,3,,0.033356991,
"Today at our tech course at University of Haifa, we were fortunate to host Rani Halloun  the founder and CEO of Auura . Rani’s discussion on founding his company and navigating complex challenges was not only insightful but also emblematic of the innovative spirit that drives our industry forward.

His emphasis on collaborations across government, private, and third sectors, along with various sources of funding, showcased the interconnectedness that fuels progress. Rani’s recommendations and guidance for continuing studies and job search were shared with the intention of empowering our students to build a better future.

This is what community and collaboration are all about. Thanks to Rani for inspiring us all.

#HaifaCourse #Innovation #Collaboration #TsofenOrganization Tsofen تسوفن צופן Maisam Jaljuli",https://www.linkedin.com/feed/update/urn:li:activity:7096850423759740929,Organic,,Kinneret Belzer,08/14/2023,,,All followers,3256,,,278,0.085380837,62,2,7,,0.107186735,
"🎓 🎉 New Course Alert! 🎉 🎓

We're thrilled to announce the launch of Course 69 at University of Haifa. This unique program, focusing on #androidappdevelopment is another step forward in our mission to promote hi-tech #education, #collaboration amongst our #diverse society.

Our vibrant cohort of 31 Arab and Jewish students are ready to embark on an exciting journey into the world of Android development. Each student brings their unique perspective and talent, forming a melting pot of creativity, innovation, and collaborative spirit. 

In this course, our students will be challenged to learn and apply the latest tools, programming languages, and best practices used in the development of Android applications. They will work on projects that reflect real-world problems, fostering critical thinking and problem-solving skills.

But most importantly, they will learn and grow together, breaking down barriers and building a strong and diverse community of tech enthusiasts.

We can't wait to see the fantastic apps they will create and the positive impact they will have on our society. Stay tuned for updates and stories from Course 69!

Join us in wishing our students the best of luck. Together, we are shaping the future of tech in Israel. 

#Tsofen #Course69 #UniversityofHaifa #AndroidDevelopment #TechEducation #DiversityInTech #UnityInDiversity #Collaboration #Innovation

Rawia Khoury Zaher Maisam Jaljuli Hanna Khoury Walaa Ibrahim",https://www.linkedin.com/feed/update/urn:li:activity:7091386425417375745,Organic,,Kinneret Belzer,07/30/2023,,,All followers,2960,,,689,0.232770264,35,3,0,,0.245608106,
"We're thrilled to announce the launch of our 68th Course, focusing on #fullstack in collaboration with Dell Technologies . This course is set to empower 30 promising students and recent graduates, immersing them in the dynamic world of technology.

Here's to fostering learning, inspiring growth, and unlocking limitless possibilities. Together, we're pioneering change and igniting the potential of tomorrow's tech leaders.

 #Tsofen #FullStackCourse #EmpoweringTheFuture USAID #tech_bridges Tsofen تسوفن צופן Maisam Jaljuli Sujood Nassar Rawia Khoury Zaher Walaa Ibrahim",https://www.linkedin.com/feed/update/urn:li:activity:7090278139112636416,Organic,,Kinneret Belzer,07/27/2023,,,All followers,2419,,,133,0.054981396,57,0,2,,0.079371639,
"🎉👏 We are absolutely thrilled to announce the newest addition to Tsofen تسوفن צופן's Board, Rola Bisharat. 

With an illustrious career path at the forefront of automotive industry, Rola brings an invaluable wealth of experience to our team. Currently leading the procurement strategies and decision-making process for technological initiatives at General Motors Israel as the Chief Procurement Officer and Make vs Buy Strategy Lead, she has demonstrated her strategic prowess time and time again. 

As a visionary leader with an impressive track record, Rola's influence extends far beyond the confines of her role, fostering innovation and significantly contributing to General Motors' success both in Israel and globally.

Armed with a B.A. in Business Administration from IDC Herzliya and an L.L.B in Law from Reichman University, we are confident that Rola's insight and strategic perspective will be instrumental in advancing Tsofen's mission.

Rola, we are delighted to welcome you to the Board and look forward to the expertise, passion, and vision you will bring to our collective efforts. 

#WelcomeAboard #Leadership #TsofenBoard #RolaBisharat #StrategicVision",https://www.linkedin.com/feed/update/urn:li:activity:7089853295791415297,Organic,,Kinneret Belzer,07/26/2023,,,All followers,1879,,,43,0.022884512,25,3,0,,0.037786055,
"Reflecting on an incredible event we had yesterday at LinkedIn ! This wasn't just a meetup, but a testament to the power of #collaboration  and #communitybuilding.

The event brought together a diverse group of young Arabs and Jews, with a significant and inspiring presence of #women. This #diversity  is what makes our community so vibrant and strong. 

We had a packed agenda with a variety of engaging programs and expert lectures that were both fascinating and practical. At Tsofen تسوفن צופן  we believe in the power of knowledge and the transformation it can bring, and it was great to see everyone leave the meetup feeling enlightened and empowered.

After the lectures, we had the opportunity to break into smaller groups for more intimate discussions. The participants had the chance to ask questions and receive professional feedback. This is what community is all about - learning from each other, growing together.

And to top it all off, each participant received a #premium LinkedIn  account for a year for #free! It's our way of saying thank you for being a part of this journey and to encourage continuous learning and networking.

Looking forward to many more such successful collaborations. #Community #Collaboration #KnowledgeSharing #tsofen USAID  #tech_bridges Islam Hag Yahya  Layan Bathish Maisam Jaljuli Merav Boaz - Boozy מירב (בוזי) בועז Kinneret Belzer Walaa Ibrahim Sujood Nassar kawkab wattad",https://www.linkedin.com/feed/update/urn:li:activity:7089151354593583105,Organic,,Kinneret Belzer,07/24/2023,,,All followers,1930,,,280,0.14507772,16,0,0,,0.153367877,
"🔊 Exciting opportunity alert! We're thrilled to announce our collaboration with Reichman University  Herzliya on a Leadership Development Course. 

Dive into 10 insightful sessions with top-tier lecturers and gain individualized mentor support post-sessions, empowering you to take your leadership skills to new heights. 🚀 

And here's the best part - our Tsofen تسوفن צופן  community enjoys an exclusive 50% discount, bringing the cost down to just 2500 shekels! 

Join us starting August 1, every Tuesday from 9:00 to 16:00 at the Reichman offices in Herzliya. 

Limited seats available, so don't wait! Register now and be a part of this transformative journey. 

Register here: 
https://lnkd.in/dbzsT4D6

#LeadershipDevelopment #ProfessionalGrowth #tsofencommunity Babcom High-Tech ",https://www.linkedin.com/feed/update/urn:li:activity:7088843695961047040,Organic,,Kinneret Belzer,07/23/2023,,,All followers,880,,,35,0.039772727,6,1,1,,0.048863638,
